time,main_level,main_flow,a_temp,a_status,a_rain,c_temp,c_status,c_rain
2019-04-06 00:00:00,161.0,4.85,,2,0.0,6.3,2,0.0
2019-04-06 01:00:00,162.0,4.97,4.9,2,0.0,5.6,2,0.0
2019-04-06 02:00:00,161.0,4.85,4.4,2,0.0,4.9,2,0.0
2019-04-06 03:00:00,162.0,4.97,4.0,3,0.0,4.3,2,0.0
2019-04-06 04:00:00,161.0,4.85,3.3,3,0.0,3.5,3,0.0
2019-04-06 05:00:00,161.0,4.85,2.9,3,0.0,2.6,3,0.0
2019-04-06 06:00:00,161.0,4.85,4.4,3,0.0,4.1,3,0.0
2019-04-06 07:00:00,161.0,4.85,6.0,3,0.0,6.3,2,0.0
2019-04-06 08:00:00,161.0,4.85,8.0,2,0.0,7.7,2,0.0
2019-04-06 09:00:00,161.0,4.85,9.0,1,0.0,8.2,1,0.0
2019-04-06 10:00:00,161.0,4.85,10.4,1,0.0,9.5,1,0.0
2019-04-06 11:00:00,161.0,4.85,10.2,1,0.0,9.9,1,0.0
2019-04-06 12:00:00,161.0,4.85,11.1,1,0.0,9.6,1,0.0
2019-04-06 13:00:00,161.0,4.795,10.2,1,0.0,9.8,1,0.0
2019-04-06 14:00:00,160.0,4.74,9.6,1,0.0,9.0,1,0.0
2019-04-06 15:00:00,161.0,4.85,9.0,1,0.0,8.5,2,0.0
2019-04-06 16:00:00,161.0,4.85,8.2,2,0.0,8.1,2,0.0
2019-04-06 17:00:00,161.0,4.85,8.1,2,0.0,7.8,2,0.0
2019-04-06 18:00:00,160.0,4.74,7.9,2,0.0,7.7,2,0.0
2019-04-06 19:00:00,160.0,4.74,7.8,2,0.0,7.5,2,0.0
2019-04-06 20:00:00,160.0,4.74,7.6,2,0.0,6.9,2,0.0
2019-04-06 21:00:00,160.0,4.74,6.7,3,0.0,6.8,2,0.0
2019-04-06 22:00:00,160.0,4.74,7.5,2,0.0,7.6,2,0.0
2019-04-06 23:00:00,160.0,4.74,7.6,2,0.0,7.6,2,0.0
2019-04-07 00:00:00,160.0,4.74,7.6,3,0.0,7.7,2,0.0
2019-04-07 01:00:00,160.0,4.74,7.3,3,0.0,7.3,3,0.0
2019-04-07 02:00:00,160.0,4.74,7.4,3,0.0,7.1,3,0.0
2019-04-07 03:00:00,160.0,4.74,7.8,3,0.0,7.5,3,0.0
2019-04-07 04:00:00,160.0,4.74,7.9,3,0.0,7.7,3,0.0
2019-04-07 05:00:00,160.0,4.74,8.2,3,0.0,7.9,3,0.0
2019-04-07 06:00:00,161.0,4.85,8.3,3,0.0,8.3,3,0.0
2019-04-07 07:00:00,160.0,4.74,8.8,3,0.0,8.6,3,0.0
2019-04-07 08:00:00,160.0,4.74,9.1,3,0.0,9.1,3,0.0
2019-04-07 09:00:00,160.0,4.74,9.3,3,0.0,9.2,3,0.0
2019-04-07 10:00:00,160.0,4.74,9.5,3,0.0,9.2,3,0.0
2019-04-07 11:00:00,160.0,4.74,9.8,3,0.0,9.3,3,0.0
2019-04-07 12:00:00,160.0,4.74,10.3,3,0.0,9.8,3,0.0
2019-04-07 13:00:00,160.0,4.74,10.3,3,0.0,9.7,3,0.0
2019-04-07 14:00:00,160.0,4.74,10.4,3,0.0,9.5,3,0.0
2019-04-07 15:00:00,160.0,4.74,10.5,3,0.0,9.3,3,0.0
2019-04-07 16:00:00,159.0,4.62,9.7,3,0.0,9.0,3,0.0
2019-04-07 17:00:00,160.0,4.74,9.5,3,0.0,9.2,3,0.0
2019-04-07 18:00:00,160.0,4.74,9.2,3,0.0,9.1,3,0.0
2019-04-07 19:00:00,160.0,4.74,8.4,3,0.0,8.3,3,0.0
2019-04-07 20:00:00,160.0,4.74,8.1,3,0.0,7.7,3,0.0
2019-04-07 21:00:00,159.0,4.62,7.7,3,0.0,7.5,3,0.0
2019-04-07 22:00:00,160.0,4.74,7.5,3,0.0,7.4,3,0.0
2019-04-07 23:00:00,160.0,4.74,7.6,3,0.0,7.3,4,0.0
2019-04-08 00:00:00,160.0,4.74,7.5,3,0.0,7.2,4,0.0
2019-04-08 01:00:00,159.0,4.62,7.5,3,0.0,7.2,4,0.0
2019-04-08 02:00:00,159.0,4.62,7.4,3,0.0,7.1,4,0.0
2019-04-08 03:00:00,159.0,4.62,7.3,3,0.0,7.2,3,0.0
2019-04-08 04:00:00,159.0,4.62,7.2,4,0.0,7.2,3,0.0
2019-04-08 05:00:00,159.0,4.62,7.2,4,0.0,7.3,3,0.0
2019-04-08 06:00:00,159.0,4.62,7.5,3,0.0,7.4,3,0.0
2019-04-08 07:00:00,159.0,4.62,7.9,3,0.0,7.9,3,0.0
2019-04-08 08:00:00,159.0,4.62,8.7,3,0.0,8.9,2,0.0
2019-04-08 09:00:00,159.0,4.62,10.4,2,0.0,9.6,2,0.0
2019-04-08 10:00:00,159.0,4.62,11.5,2,0.0,10.8,2,0.0
2019-04-08 11:00:00,159.0,4.62,11.3,1,0.0,11.6,1,0.0
2019-04-08 12:00:00,159.0,4.62,11.1,1,0.0,11.6,1,0.0
2019-04-08 13:00:00,159.0,4.62,11.5,1,0.0,12.2,1,0.0
2019-04-08 14:00:00,159.0,4.62,11.7,1,0.0,11.6,1,0.0
2019-04-08 15:00:00,159.0,4.62,11.6,1,0.0,11.7,1,0.0
2019-04-08 16:00:00,158.0,4.51,11.4,1,0.0,12.3,1,0.0
2019-04-08 17:00:00,158.0,4.51,11.3,1,0.0,11.4,1,0.0
2019-04-08 18:00:00,159.0,4.63,10.5,1,0.0,10.0,2,0.0
2019-04-08 19:00:00,159.0,4.63,9.2,2,0.0,8.8,2,0.0
2019-04-08 20:00:00,159.0,4.63,7.6,3,0.0,7.6,3,0.0
2019-04-08 21:00:00,158.0,4.51,6.9,3,0.0,7.8,3,0.0
2019-04-08 22:00:00,159.0,4.63,6.8,3,0.0,7.0,3,0.0
2019-04-08 23:00:00,158.0,4.51,5.0,4,0.0,5.3,4,0.0
2019-04-09 00:00:00,158.0,4.51,5.1,4,0.0,6.1,4,0.0
2019-04-09 01:00:00,159.0,4.63,6.1,4,0.0,6.1,4,0.0
2019-04-09 02:00:00,158.0,4.51,6.0,4,0.0,4.5,4,0.0
2019-04-09 03:00:00,158.0,4.51,4.8,4,0.0,4.3,4,0.0
2019-04-09 04:00:00,158.0,4.51,2.7,4,0.0,4.0,4,0.0
2019-04-09 05:00:00,158.0,4.51,2.5,4,0.0,2.7,4,0.0
2019-04-09 06:00:00,158.0,4.51,4.1,4,0.0,3.6,4,0.0
2019-04-09 07:00:00,158.0,4.51,5.8,4,0.0,4.9,4,0.0
2019-04-09 08:00:00,159.0,4.63,8.0,4,0.0,7.7,4,0.0
2019-04-09 09:00:00,158.0,4.51,11.9,2,0.0,11.2,2,0.0
2019-04-09 10:00:00,158.0,4.51,13.600000000000001,1,0.0,13.0,1,0.0
2019-04-09 11:00:00,158.0,4.51,15.3,1,0.0,14.4,1,0.0
2019-04-09 12:00:00,158.0,4.51,16.6,1,0.0,15.0,1,0.0
2019-04-09 13:00:00,158.0,4.51,17.0,1,0.0,16.8,1,0.0
2019-04-09 14:00:00,158.0,4.51,18.0,1,0.0,17.7,1,0.0
2019-04-09 15:00:00,158.0,4.51,18.0,1,0.0,18.7,1,0.0
2019-04-09 16:00:00,158.0,4.51,18.3,1,0.0,18.3,1,0.0
2019-04-09 17:00:00,158.0,4.51,17.8,0,0.0,17.9,1,0.0
2019-04-09 18:00:00,158.0,4.51,14.4,1,0.0,15.7,1,0.0
2019-04-09 19:00:00,158.0,4.51,12.9,1,0.0,11.2,1,0.0
2019-04-09 20:00:00,158.0,4.51,12.5,1,0.0,11.6,1,0.0
2019-04-09 21:00:00,158.0,4.51,11.7,1,0.0,11.2,1,0.0
2019-04-09 22:00:00,157.0,4.4,11.0,1,0.0,12.7,1,0.0
2019-04-09 23:00:00,157.0,4.4,11.9,1,0.0,12.5,1,0.0
2019-04-10 00:00:00,157.0,4.4,10.6,2,0.0,9.7,2,0.0
2019-04-10 01:00:00,157.0,4.4,10.0,2,0.0,8.5,2,0.0
2019-04-10 02:00:00,157.0,4.4,10.2,2,0.0,10.6,2,0.0
2019-04-10 03:00:00,157.0,4.4,10.7,2,0.0,10.8,1,0.0
2019-04-10 04:00:00,158.0,4.51,11.0,1,0.0,11.0,1,0.0
2019-04-10 05:00:00,158.0,4.51,10.7,2,0.0,10.3,2,0.0
2019-04-10 06:00:00,158.0,4.51,10.1,2,0.0,9.6,2,0.0
2019-04-10 07:00:00,158.0,4.51,9.8,2,0.0,8.8,2,0.0
2019-04-10 08:00:00,158.0,4.51,9.3,2,0.0,9.1,2,0.0
2019-04-10 09:00:00,158.0,4.51,9.0,2,0.0,8.9,2,0.0
2019-04-10 10:00:00,158.0,4.51,9.3,1,0.0,9.6,2,0.0
2019-04-10 11:00:00,158.0,4.51,9.9,1,0.0,9.2,1,0.0
2019-04-10 12:00:00,158.0,4.51,9.8,1,0.0,9.8,1,0.0
2019-04-10 13:00:00,158.0,4.51,10.0,1,0.0,9.7,1,0.0
2019-04-10 14:00:00,158.0,4.51,9.5,1,0.0,9.0,1,0.0
2019-04-10 15:00:00,158.0,4.51,9.0,1,0.0,8.8,1,0.0
2019-04-10 16:00:00,158.0,4.51,9.0,1,0.0,8.600000000000001,1,0.0
2019-04-10 17:00:00,158.0,4.51,8.6,1,0.0,8.4,1,0.0
2019-04-10 18:00:00,157.0,4.4,7.9,2,0.0,7.4,2,0.0
2019-04-10 19:00:00,157.0,4.4,6.8,2,0.0,6.0,2,0.2
2019-04-10 20:00:00,157.0,4.4,6.2,2,0.0,6.5,2,0.4
2019-04-10 21:00:00,157.0,4.4,6.1,2,0.0,5.6,2,0.0
2019-04-10 22:00:00,157.0,4.4,5.9,2,0.0,6.0,2,0.5
2019-04-10 23:00:00,157.0,4.4,5.8,2,0.0,5.6,2,0.0
2019-04-11 00:00:00,157.0,4.4,4.8,2,0.1,5.1,2,0.0
2019-04-11 01:00:00,157.0,4.4,4.3,2,0.0,4.5,2,0.0
2019-04-11 02:00:00,157.0,4.4,4.3,2,0.0,5.0,2,0.0
2019-04-11 03:00:00,157.0,4.4,5.0,2,0.0,5.1,2,0.0
2019-04-11 04:00:00,157.0,4.4,5.1,3,0.0,5.4,2,0.05
2019-04-11 05:00:00,157.0,4.4,4.9,2,0.0,4.9,2,0.1
2019-04-11 06:00:00,157.0,4.4,5.7,2,0.0,5.6,2,0.0
2019-04-11 07:00:00,157.0,4.4,6.9,2,0.0,6.6,2,0.0
2019-04-11 08:00:00,157.0,4.4,7.4,2,0.0,6.9,2,0.0
2019-04-11 09:00:00,157.0,4.4,7.4,2,0.0,7.2,2,0.0
2019-04-11 10:00:00,157.0,4.4,8.0,2,0.7,7.8,1,0.0
2019-04-11 11:00:00,157.0,4.4,8.0,2,0.0,8.6,1,0.3
2019-04-11 12:00:00,157.0,4.4,9.3,1,0.0,8.4,1,0.0
2019-04-11 13:00:00,157.0,4.4,9.6,1,0.0,9.4,1,0.0
2019-04-11 14:00:00,157.0,4.4,9.9,1,0.0,9.7,1,0.0
2019-04-11 15:00:00,157.0,4.4,10.0,1,0.0,9.3,1,0.0
2019-04-11 16:00:00,157.0,4.4,10.0,1,0.0,9.0,1,0.0
2019-04-11 17:00:00,156.0,4.29,8.9,1,0.0,8.4,1,0.0
2019-04-11 18:00:00,156.0,4.29,8.1,1,0.0,7.75,1,0.0
2019-04-11 19:00:00,156.0,4.29,7.3,2,0.0,7.1,2,0.0
2019-04-11 20:00:00,156.0,4.29,6.3,2,0.1,6.1,2,0.3
2019-04-11 21:00:00,156.0,4.29,6.0,3,0.1,6.2,3,0.2
2019-04-11 22:00:00,156.0,4.29,6.3,3,0.0,6.9,3,0.1
2019-04-11 23:00:00,156.0,4.29,6.8,3,0.0,7.0,3,0.0
2019-04-12 00:00:00,156.0,4.29,6.9,3,0.0,7.4,3,0.0
2019-04-12 01:00:00,156.0,4.29,7.1,3,0.7,7.7,3,1.1
2019-04-12 02:00:00,156.0,4.29,7.5,3,0.9,7.9,3,0.6
2019-04-12 03:00:00,157.0,4.4,7.7,3,0.8,7.9,3,1.1
2019-04-12 04:00:00,157.0,4.4,7.6,4,1.0,7.8,3,0.5
2019-04-12 05:00:00,157.0,4.4,7.6,4,0.7,7.8,3,0.3
2019-04-12 06:00:00,158.0,4.52,7.8,4,0.5,7.8,3,0.4
2019-04-12 07:00:00,159.0,4.63,7.9,4,0.3,7.9,3,0.3
2019-04-12 08:00:00,160.0,4.75,8.1,4,0.3,8.1,3,0.4
2019-04-12 09:00:00,160.0,4.75,8.2,3,0.3,8.6,3,0.2
2019-04-12 10:00:00,161.0,4.86,8.7,3,0.1,8.6,3,0.3
2019-04-12 11:00:00,162.0,4.98,8.8,3,0.6,8.5,3,1.2
2019-04-12 12:00:00,163.0,5.1,8.5,3,0.7,8.3,3,1.5
2019-04-12 13:00:00,164.0,5.22,8.6,3,0.9,8.4,3,1.7
2019-04-12 14:00:00,165.0,5.34,8.6,3,0.9,8.5,3,1.3
2019-04-12 15:00:00,165.0,5.34,8.7,3,1.1,8.4,3,1.5
2019-04-12 16:00:00,166.0,5.46,8.5,3,0.3,8.4,3,0.5
2019-04-12 17:00:00,167.0,5.58,8.3,3,0.3,8.3,3,0.8
2019-04-12 18:00:00,168.0,5.7,8.1,3,0.1,7.8,3,0.8
2019-04-12 19:00:00,169.0,5.82,7.5,3,0.0,7.2,3,0.0
2019-04-12 20:00:00,170.0,5.95,7.0,3,0.0,6.8,3,0.0
2019-04-12 21:00:00,170.0,5.95,6.8,3,0.0,6.7,3,0.0
2019-04-12 22:00:00,170.5,6.07,6.4,3,0.0,6.3,3,0.0
2019-04-12 23:00:00,171.0,6.07,6.5,3,0.0,6.7,2,0.0
